vipper_131 (04/23/07  8:43:12 PM): hello 

vipper_131 (04/26/07  4:31:01 PM): hello 
14 yr old girl(04/26/07  4:31:17 PM): hi
vipper_131 (04/26/07  4:31:22 PM): how r u 
vipper_131 (04/26/07  4:31:23 PM): asl 
14 yr old girl(04/26/07  4:31:29 PM): 14 f ID and u?
vipper_131 (04/26/07  4:31:50 PM): 22 m idaho falls
vipper_131 (04/26/07  4:31:51 PM): were in id u from 
14 yr old girl(04/26/07  4:31:57 PM): filer
vipper_131 (04/26/07  4:32:03 PM): cool u have a pic
14 yr old girl(04/26/07  4:32:15 PM): i have sum on my prof
vipper_131 (04/26/07  4:33:09 PM): dam ur a hoty u sure ur 14
vipper_131 (04/26/07  4:33:13 PM): u look 18 <span class="code_c">(<i>they ALL say this</i>)
]14 yr old girl(04/26/07  4:33:18 PM): lol i wish i was 18
vipper_131 (04/26/07  4:33:21 PM): lol
vipper_131 (04/26/07  4:33:25 PM): u a vergin still <span class="code_c">(<i>hmm that didn't take long</i>)
14 yr old girl(04/26/07  4:33:33 PM): yah
vipper_131 (04/26/07  4:33:37 PM): hmm 
14 yr old girl(04/26/07  4:33:42 PM): lol
vipper_131 (04/26/07  4:33:43 PM): u looking for a man 
14 yr old girl(04/26/07  4:33:59 PM): oh idk i just broke up with my bf like a month ago
vipper_131 (04/26/07  4:34:04 PM): ooo 
vipper_131 (04/26/07  4:34:11 PM): what have u done with a guy 
14 yr old girl(04/26/07  4:34:24 PM): wat u mean? like dates n stuff?
vipper_131 (04/26/07  4:34:35 PM): no i mean making out and stuf
14 yr old girl(04/26/07  4:34:45 PM): oh kissin n stuff 
vipper_131 (04/26/07  4:34:49 PM): ya 
vipper_131 (04/26/07  4:34:52 PM): or giving head
14 yr old girl(04/26/07  4:35:08 PM): lol yah 
vipper_131 (04/26/07  4:35:10 PM): or u not ready for all that 
14 yr old girl(04/26/07  4:35:18 PM): it was ok
vipper_131 (04/26/07  4:35:27 PM): hmm 
vipper_131 (04/26/07  4:35:34 PM): when do u wana lose ur verginity
14 yr old girl(04/26/07  4:35:46 PM): idk i guess i will kn ow when i meet the guy i want to with
vipper_131 (04/26/07  4:35:54 PM): hmm 
14 yr old girl(04/26/07  4:35:57 PM): brb
vipper_131 (04/26/07  4:36:01 PM): so u ever been in a smi <span class="code_c">(<i>you mean semi[</i>)
14 yr old girl(04/26/07  4:38:11 PM): srry
vipper_131 (04/26/07  4:38:18 PM): ur fine
14 yr old girl(04/26/07  4:38:27 PM): had to let my dog out
vipper_131 (04/26/07  4:38:32 PM): lol 
14 yr old girl(04/26/07  4:39:26 PM): so wat r u up to?
vipper_131 (04/26/07  4:39:29 PM): nada 
vipper_131 (04/26/07  4:39:57 PM): just got the day off 
vipper_131 (04/26/07  4:39:59 PM): so u ever been in a simi 
14 yr old girl(04/26/07  4:40:08 PM): no i aint
14 yr old girl(04/26/07  4:40:12 PM): have u?
vipper_131 (04/26/07  4:40:22 PM): i drive truck for a loving 
vipper_131 (04/26/07  4:40:26 PM): u have a web cam 
14 yr old girl(04/26/07  4:40:30 PM): no srry i dont
vipper_131 (04/26/07  4:40:40 PM): hmm 
vipper_131 (04/26/07  4:40:44 PM): any sexy pics
14 yr old girl(04/26/07  4:40:51 PM): only wat i got on my p rof
vipper_131 (04/26/07  4:40:54 PM): hmm 
14 yr old girl(04/26/07  4:40:55 PM): do u got pics?
vipper_131 (04/26/07  4:41:00 PM): on profile
14 yr old girl(04/26/07  4:41:03 PM): k brb
vipper_131 (04/26/07  4:41:09 PM): so what do u like abought guys 
14 yr old girl(04/26/07  4:41:30 PM): well u r cute
vipper_131 (04/26/07  4:41:37 PM): ty
14 yr old girl(04/26/07  4:41:38 PM): well i like guys that dont act all immature
vipper_131 (04/26/07  4:41:43 PM): hmm 
vipper_131 (04/26/07  4:41:53 PM): well is thinking abought sex imature <span class="code_c">(<i>nah..but illegal with 14 yr olds
</i>)14 yr old girl(04/26/07  4:42:05 PM): lol i guess not
vipper_131 (04/26/07  4:42:11 PM): lol 
vipper_131 (04/26/07  4:42:18 PM): cuzz i havent had sex for a wile
vipper_131 (04/26/07  4:42:19 PM): lol 
14 yr old girl(04/26/07  4:42:21 PM): lol
14 yr old girl(04/26/07  4:42:25 PM): u dont have a gf?
vipper_131 (04/26/07  4:42:28 PM): nope
vipper_131 (04/26/07  4:42:44 PM): not many girls like to  have a trucker as a bf 
14 yr old girl(04/26/07  4:42:50 PM): awww thats too bad
vipper_131 (04/26/07  4:43:14 PM): ya
14 yr old girl(04/26/07  4:43:50 PM): well maybe u will find sumone
vipper_131 (04/26/07  4:43:53 PM): hmm 
vipper_131 (04/26/07  4:43:58 PM): well u wana be fuck budys <span class="code_c">(<i>what a romantic!!
</i>)14 yr old girl(04/26/07  4:44:05 PM): lol i dont know u yet
vipper_131 (04/26/07  4:44:25 PM): lol what u wana no
14 yr old girl(04/26/07  4:44:54 PM): well r u a good guy?
vipper_131 (04/26/07  4:45:01 PM): lol ya 
14 yr old girl(04/26/07  4:45:17 PM): but u know im a virgin rite?
vipper_131 (04/26/07  4:45:29 PM): ya
14 yr old girl(04/26/07  4:45:43 PM): that dont bug u?
vipper_131 (04/26/07  4:45:50 PM): nope
14 yr old girl(04/26/07  4:46:18 PM): im a lil bit scared about it tho
vipper_131 (04/26/07  4:46:29 PM): y 
14 yr old girl(04/26/07  4:46:41 PM): cauz i heard it hurts
vipper_131 (04/26/07  4:46:52 PM): for a bit but it dont hurt all that much 
vipper_131 (04/26/07  4:46:56 PM): its a good pain <span class="code_chat">wonder how he would know that
wonders how he would know that
14 yr old girl(04/26/07  4:47:11 PM): &lt;-----wonders how pain can be good lol
vipper_131 (04/26/07  4:47:16 PM): lol ill show u 
14 yr old girl(04/26/07  4:47:20 PM): lol
14 yr old girl(04/26/07  4:47:33 PM): well i mite want to
vipper_131 (04/26/07  4:47:55 PM): hmm 
vipper_131 (04/26/07  4:47:58 PM): so add me
14 yr old girl(04/26/07  4:48:08 PM): ok
vipper_131 (04/26/07  4:48:30 PM): so hmm 
vipper_131 (04/26/07  4:48:39 PM): what turns u on the most
14 yr old girl(04/26/07  4:48:59 PM): well i like nice smiles
vipper_131 (04/26/07  4:49:08 PM): k  
vipper_131 (04/26/07  4:49:48 PM): well ask me some qwestions i mean any 
14 yr old girl(04/26/07  4:49:55 PM): hmmm
14 yr old girl(04/26/07  4:49:59 PM): u ever been married?
vipper_131 (04/26/07  4:50:02 PM): nope
14 yr old girl(04/26/07  4:50:09 PM): u like drivin truck?
vipper_131 (04/26/07  4:50:12 PM): love it 
vipper_131 (04/26/07  4:50:17 PM): it makes great money 
14 yr old girl(04/26/07  4:50:21 PM): thats kool
vipper_131 (04/26/07  4:50:44 PM): keep asking 
14 yr old girl(04/26/07  4:50:49 PM): lol u ask sum too
vipper_131 (04/26/07  4:50:53 PM): hmm 
vipper_131 (04/26/07  4:51:16 PM): if i was there next to u and u seen that i had a hard on what whould u do <span class="code_c">(<i>throw cold water on you?</i>)1
4 yr old girl(04/26/07  4:51:30 PM): well idk lol 
vipper_131 (04/26/07  4:51:34 PM): lol 
14 yr old girl(04/26/07  4:51:39 PM): i am dumb lol
vipper_131 (04/26/07  4:51:40 PM): whould u try to touch it 
vipper_131 (04/26/07  4:51:43 PM): suck it 
vipper_131 (04/26/07  4:51:46 PM): what 
14 yr old girl(04/26/07  4:51:52 PM): well prolly not  i would be embarassed
14 yr old girl(04/26/07  4:52:03 PM): i think guys r the ones that usualy make the moves
vipper_131 (04/26/07  4:52:17 PM): well say i was next to u and i was filing ur leg <span class="code_c">(<i>heard a swift smack upside the head cures that</i>)
vipper_131 (04/26/07  4:52:26 PM): whould u git mad 
14 yr old girl(04/26/07  4:52:43 PM): nah not if we knew each other n stuff
vipper_131 (04/26/07  4:53:09 PM): k what if i was  reaching around ur sholders and playing with ur niples
14 yr old girl(04/26/07  4:53:24 PM): well if we was dating i dont think i would get mad
vipper_131 (04/26/07  4:53:29 PM): hmm 
vipper_131 (04/26/07  4:53:37 PM): whould u give me head if we wer dateing 
14 yr old girl(04/26/07  4:53:43 PM): prolly
vipper_131 (04/26/07  4:53:46 PM): cool 
vipper_131 (04/26/07  4:53:48 PM): do u swalo 
14 yr old girl(04/26/07  4:54:11 PM): i did with my old bf
vipper_131 (04/26/07  4:54:21 PM): how old was he
14 yr old girl(04/26/07  4:54:31 PM): he was 17
vipper_131 (04/26/07  4:54:38 PM): cool 
vipper_131 (04/26/07  4:54:46 PM): so what are some qwestions for me now
14 yr old girl(04/26/07  4:55:00 PM): hmmm
14 yr old girl(04/26/07  4:55:04 PM): so wat do u do for fun?
vipper_131 (04/26/07  4:55:26 PM): work 
14 yr old girl(04/26/07  4:55:37 PM): for fun?
vipper_131 (04/26/07  4:56:12 PM): lol my work is fun 
14 yr old girl(04/26/07  4:56:15 PM): wow
14 yr old girl(04/26/07  4:56:19 PM): u get to travel all over?
vipper_131 (04/26/07  4:56:27 PM): oregon and wasington 
14 yr old girl(04/26/07  4:56:32 PM): i see
vipper_131 (04/26/07  4:56:44 PM): was all over the us but now just three staes
14 yr old girl(04/26/07  4:57:05 PM): which do u like better?
vipper_131 (04/26/07  4:57:18 PM): the job im at now
14 yr old girl(04/26/07  4:57:27 PM): when is ur bday?
vipper_131 (04/26/07  4:57:35 PM): aug  27
14 yr old girl(04/26/07  4:57:43 PM): mine is nov 12
vipper_131 (04/26/07  4:57:46 PM): cool 
vipper_131 (04/26/07  4:58:02 PM): why did u uys brake up 
14 yr old girl(04/26/07  4:58:09 PM): cauz he cheated on me
